Year,Zone,Vaccine,# Immunized,# Eligible,% Coverage,95% CI,Year_Start,Gap_From_Target,Gap_Percentage_Points,Meets_Target,# Unvaccinated
2013-14,CENTRAL,HPV - Dose 1,1780,2004,0.888,87.4-90.1,2013,0.061999999999999944,6.199999999999994,False,224
2013-14,CENTRAL,HPV - Dose 2,1693,2004,0.845,82.8-86.0,2013,0.10499999999999998,10.499999999999998,False,311
2013-14,CENTRAL,HPV - Dose 3,1409,2004,0.703,68.3-72.3,2013,0.247,24.7,False,595
2013-14,NOVA SCOTIA,TDAP,8649,9265,0.934,92.8-93.8,2013,0.015999999999999903,1.5999999999999903,False,616
2013-14,NOVA SCOTIA,MEN-C-C,8679,9265,0.937,93.2-94.2,2013,0.0129999999999999,1.29999999999999,False,586
2013-14,NOVA SCOTIA,HBV - Dose 1,7823,9265,0.8440000000000001,83.7-85.2,2013,0.10599999999999987,10.599999999999987,False,1442
2013-14,NOVA SCOTIA,HBV - Dose 2,6968,9265,0.752,74.3-76.1,2013,0.19799999999999995,19.799999999999997,False,2297
2013-14,NOVA SCOTIA,HPV - Dose 1,4006,4511,0.888,87.9-89.7,2013,0.061999999999999944,6.199999999999994,False,505
2013-14,NOVA SCOTIA,HPV - Dose 2,3813,4511,0.845,83.4-85.6,2013,0.10499999999999998,10.499999999999998,False,698
2013-14,NOVA SCOTIA,HPV - Dose 3,3385,4511,0.75,73.8-76.3,2013,0.19999999999999996,19.999999999999996,False,1126
2012-13,WESTERN,TDAP,1866,1978,0.943,93.2-95.3,2012,0.007000000000000006,0.7000000000000006,False,112
2012-13,WESTERN,MEN-C-C,1833,1978,0.927,91.4-93.7,2012,0.02299999999999991,2.299999999999991,False,145
2012-13,WESTERN,HBV - Dose 1,1764,1978,0.892,87.7-90.5,2012,0.05799999999999994,5.799999999999994,False,214
2012-13,WESTERN,HBV - Dose 2,1651,1978,0.835,81.8-85.0,2012,0.11499999999999999,11.5,False,327
2012-13,WESTERN,HPV - Dose 1,835,988,0.845,82.1-86.6,2012,0.10499999999999998,10.499999999999998,False,153
2012-13,WESTERN,HPV - Dose 2,807,988,0.8170000000000001,79.1-84.0,2012,0.1329999999999999,13.29999999999999,False,181
2012-13,WESTERN,HPV - Dose 3,778,988,0.787,76.1-81.2,2012,0.16299999999999992,16.299999999999994,False,210
2012-13,NORTHERN,TDAP,1520,1631,0.932,91.9-94.3,2012,0.017999999999999905,1.7999999999999905,False,111
2012-13,NORTHERN,MEN-C-C,1517,1631,0.93,91.7-94.1,2012,0.019999999999999907,1.9999999999999907,False,114
2012-13,NORTHERN,HBV - Dose 1,1497,1631,0.9179999999999999,90.4-93.0,2012,0.03200000000000003,3.200000000000003,False,134
2012-13,NORTHERN,HBV - Dose 2,1403,1631,0.86,84.3-87.6,2012,0.08999999999999997,8.999999999999996,False,228
2012-13,NORTHERN,HPV - Dose 1,709,797,0.89,86.6-91.0,2012,0.05999999999999994,5.999999999999995,False,88
2012-13,NORTHERN,HPV - Dose 2,695,797,0.872,84.7-89.3,2012,0.07799999999999996,7.799999999999995,False,102
2012-13,NORTHERN,HPV - Dose 3,666,797,0.836,80.8-86.0,2012,0.11399999999999999,11.399999999999999,False,131
2012-13,EASTERN,TDAP,1548,1763,0.878,86.2-89.3,2012,0.07199999999999995,7.199999999999996,False,215
2012-13,EASTERN,MEN-C-C,1545,1763,0.8759999999999999,86.0-89.1,2012,0.07400000000000007,7.400000000000007,False,218
2012-13,EASTERN,HBV - Dose 1,1484,1763,0.8420000000000001,82.4-85.8,2012,0.10799999999999987,10.799999999999986,False,279
2012-13,EASTERN,HBV - Dose 2,1382,1763,0.784,76.4-80.2,2012,0.16599999999999993,16.599999999999994,False,381
2012-13,EASTERN,HPV - Dose 1,703,867,0.8109999999999999,78.3-83.6,2012,0.139,13.900000000000002,False,164
2012-13,EASTERN,HPV - Dose 2,686,867,0.7909999999999999,76.3-81.7,2012,0.15900000000000003,15.900000000000002,False,181
2012-13,EASTERN,HPV - Dose 3,645,867,0.7440000000000001,71.4-77.2,2012,0.20599999999999985,20.599999999999984,False,222
2012-13,CENTRAL,TDAP,3837,4173,0.919,91.1-92.7,2012,0.030999999999999917,3.0999999999999917,False,336
2012-13,CENTRAL,MEN-C-C,3788,4173,0.9079999999999999,89.9-91.6,2012,0.04200000000000004,4.200000000000004,False,385
2012-13,CENTRAL,HBV - Dose 1,3527,4173,0.845,83.4-85.6,2012,0.10499999999999998,10.499999999999998,False,646
2012-13,CENTRAL,HBV - Dose 2,3111,4173,0.746,73.2-75.8,2012,0.20399999999999996,20.399999999999995,False,1062
2012-13,CENTRAL,HPV - Dose 1,1799,2033,0.885,87.0-89.8,2012,0.06499999999999995,6.499999999999995,False,234
2012-13,CENTRAL,HPV - Dose 2,1737,2033,0.8540000000000001,83.8-86.9,2012,0.09599999999999986,9.599999999999987,False,296
2012-13,CENTRAL,HPV - Dose 3,1529,2033,0.752,73.3-77.0,2012,0.19799999999999995,19.799999999999997,False,504
2012-13,NOVA SCOTIA,TDAP,8771,9545,0.919,91.3-92.4,2012,0.030999999999999917,3.0999999999999917,False,774
2012-13,NOVA SCOTIA,MEN-C-C,8683,9545,0.91,90.3-91.5,2012,0.039999999999999925,3.9999999999999925,False,862
2012-13,NOVA SCOTIA,HBV - Dose 1,8272,9545,0.867,86.0-87.3,2012,0.08299999999999996,8.299999999999997,False,1273
2012-13,NOVA SCOTIA,HBV - Dose 2,7547,9545,0.7909999999999999,78.2-79.9,2012,0.15900000000000003,15.900000000000002,False,1998
